Code,Name,"BUDGET AMOUNT 
=N= 
","MARCH ACTUAL 
=N= 
","YEAR TO DATE 
=N= 
","BUDGET BALANCE 
=N= 
","EXECUTION 
% 
"
23020102,CONSTRUCTION / PROVISION OF RESIDENTIAL BUILDINGS,815000000,0.0,0.0,815000000.0,0.0
23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,270835037,20367490.13,20367490.13,250467546.87,7.52
23020114,CONSTRUCTION / PROVISION OF ROADS,4437033126,0.0,0.0,4437033126.0,0.0
23020115,CONSTRUCTION / PROVISION OF RAIL-WAYS,397122872,0.0,0.0,397122872.0,0.0
23020116,CONSTRUCTION / PROVISION OF WATER-WAYS,5100000000,72203725.67,72203725.67,5027796274.33,1.42
23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,8402118133,0.0,0.0,8402118133.0,0.0
23030113,REHABILITATION / REPAIRS - ROADS,1000000000,0.0,0.0,1000000000.0,0.0
23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,750000000,0.0,0.0,750000000.0,0.0
